Name,CABNumber,FileName,Label,LegislativeArea
3c Test Ltd,8508,5418Product-Certification.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
3c Test Ltd,8508,5418Product-Certification.pdf,Radio Equipment Regulations 2017,Radio equipment
3c Test Ltd,8508,5418Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
3c Test Ltd,8508,1204Testing-Multiple.pdf,"Conformity assessment under mutual recognition agreements (MRA), UK-USA MRA, Sectoral Annex on Electromagnetic compatibility - Test Firm",Electromagnetic compatibility
4ward Testing Ltd,2538,0307Testing-Single.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
"ACB, Inc.",1588,1588_RER_V002.pdf,Radio Equipment Regulations 2017,Radio equipment
"ACB, Inc.",1588,1588_EMC_V002.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
AEGIS Certification Services Ltd,2773,10221Product-Certification.pdf,The Railways (Interoperability) Regulations 2011,Railway interoperability
AEGIS Certification Services Ltd,2773,Note for concept of notified body (NI) and rail interoperability.pdf,Note for concept of notified body (NI) and rail interoperability,Railway interoperability
AFNOR UK Ltd,8510,0022Product-Certification.pdf,Gas Appliances Regulation (Regulation (EU) 2016/426 as brought into UK law and amended) and the Gas Appliances (Enforcement) and Miscellaneous Amendment Regulations 2018,Gas appliances and related
AFNOR UK Ltd,8510,0022Product-Certification.pdf,Ecodesign (Boiler Efficiency Regulations),Ecodesign
Alcumus Isoqar Ltd,513,0026Management-Systems.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Alienor Certification Ltd,8523,25551Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
Altran UK,1157,6181Product-Certification.pdf,The Railways (Interoperability) Regulations 2011,Railway interoperability
Altran UK,1157,Note for concept of notified body (NI) and rail interoperability.pdf,Note for concept of notified body (NI) and rail interoperability,Railway interoperability
Amtri Veritas Limited,463,5969Inspection-Body-Single.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
AnP Certification Ltd,8500,22103_Product-Certification.pdf,Noise Emission in the Environment by Equipment for use Outdoors Regulations 2001,Noise emissions in the environment by equipment for use outdoors
Apragaz Ltd,8516,8516_-_MER_V001.pdf,Marine Equipment Regulations 2016,Marine equipment 
Arrowhead Industrial Services Ltd,1266,4542Inspection-Body-Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
Arrowhead Industrial Services Ltd,1266,4542Inspection-Body-Single.pdf,Transportable Pressure Equipment Regulations 2009,Transportable pressure equipment
B.I.E. International Limited,964,0036Inspection-Body-Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
