CabId,UKASReference
64ba3470-e0e5-4eef-8c64-532fd6f090b3,1204
7702aa0e-69cb-4746-9876-7a7f77464987,0307
e69075f6-318c-4b14-9008-66a98f2665d9,10221
f6e51f67-23a4-4c3f-bf88-af54fcbf3fd6,0022
6bafa14f-703a-4349-a2c9-2b2e44f65f20,0026
b40d7a3b-fc81-4cc0-9f25-890ca325a7df,25551
a66fe848-b78a-481f-b0a1-fb4ce1b54f36,0042
335694ff-7ef7-4298-af18-8aa49a115fba,22103
b81fcb0f-338b-4257-bd48-99071368d751,25201
e5ef5a21-a96b-4cb2-9f19-68d76df7beba,4542
407bf4d5-588e-43b9-ae42-549293dfadb1,0036
299ca3b3-64fe-4ce4-acf3-dc8b6ae5c7df,0004
2d55bcd0-86bf-45c3-9c24-31caa012e88a,5554
e2bc3c81-52ff-4739-8076-42cf816cfbf5,22963
9e161148-a46d-49aa-88cd-c8adfa576b43,4601
b006b08b-c70b-4404-808a-e760185671b5,0113
2eaf41c7-7402-413a-872a-94760fa8f0e5,9230
9140abf5-e082-4fec-806e-4996d6f17706,0030
959d38f6-6b42-4c20-a5d5-5e043ef3f1a1,1053
ea3864f6-ab77-433d-bf3a-c167eb8cf1b0,4044
61d41480-67d4-44e2-b2d8-8f8b58128968,25631
b7d81e74-bf68-4e4d-a7e4-9f1d79ced827,24733
d7013edb-672c-4385-829c-181a39851fa8,5111
b1b0e20c-7536-4408-a9de-d0f7ba7c29fd,9413
63fd4a05-b767-43a3-92bd-361370237383,4319
c3905008-e70a-431c-9ded-10fcc5657efa,0140
65ebba4a-a8ee-4424-a4e0-d8a37efb31df,6038
a6f929d9-6a32-4945-bd06-0d0a3464e84e,6537
be8b0b2d-7ee9-4be4-ab53-6d6f4e6105d4,23509
9fdaee40-86e8-4e97-bbfb-8e15da9d1cc0,0120
3f43444f-6fb4-4919-9321-aedc7711d106,24575
52b5ad9e-4171-43c5-a408-b7c8553f6f82,23149
0b1c3b91-b2a4-4c32-8519-c359b4f50b84,22950
99dd3092-f324-442e-b3ad-b99558f19400,0342
a2a186aa-0779-40d3-a0b7-1f574a7df2ab,4285
a33ae983-87fd-4236-9ef0-e2a7a02ef007,1833
b7d5fdbc-c00d-4f9d-9d71-be36e641fe30,0327
4d3a3dce-998d-4d3c-9bec-b2e5526c0d2a,9412
cc4d0bbe-553a-4033-82f2-f84b905f01e9,23333
e5db79de-8958-47cf-b430-fe83ded2bb02,23158
a68a515e-1850-4c6b-98ba-95a881a5cf24,0013
999203d1-3264-4a23-aef9-976a2181e78e,0203
9420ee6e-0644-4ccd-831a-415f9226f3dc,24267
0cf098ba-e912-4d84-b711-b3c2d46c7cd8,10169
3a15ce23-e5b0-440c-aa58-5aba6d88a6e6,4416
34fa68ea-f220-49a7-9b95-c868f520a734,4279
d1f1340e-5707-429a-9c39-d0ba6cf1e404,0178
880e95d9-02ae-4b3b-b7b1-ca39e7e7cc16,4585
1990559c-5496-4a57-90a1-34ed49efec2b,8175
fbe48645-4ea5-4c59-a73c-9c95737bdf93,1428
8ccd5fd7-9269-4a3a-9717-e63378a04011,6952
6f3d7384-aa54-48cf-b6c8-3e5dcb1a9ccc,8613
b0f94bc5-5ec9-45ab-a19a-9642cc0f482c,0259
94c6d6c5-acfc-406a-81b7-840fbd702ca2,26021
c3567132-de80-4bed-9413-4d96303abe26,9241
e2803514-b30c-4b7d-bf8d-280a2a6340e1,5965
79069acc-b693-4e35-b98c-035ac0c34e03,8452
9b47b5b0-b20b-433e-9a38-ab73cd83667f,7645
6b0c70e5-94d6-41a0-8056-db9ba636734e,9998
59221e30-2523-45ac-9e4a-93bdd3a07778,0328
7af5de3d-1341-49bc-a8cd-85fd8a6afacc,24265
e387f3ac-868c-42e1-a33f-aa6471384128,0175
7f240831-b9a2-44f7-82b7-01f924e17b5a,0402
f9329d8e-78a0-4bbb-bd1c-e13288b8120d,27023
21b559ce-d9d8-42a4-94bd-0fc7d6186049,0027
b182c032-bf61-4481-975c-c35f2dcc3204,9127
5c841ac2-a363-413c-894e-038034d5aceb,0063
fc543dad-1f04-48a4-a600-75827a6bb151,22120
2659121a-fde6-4238-9ce8-f058f20ad413,2294
336c503a-53ba-4efe-acd9-5a5ca77b6998,26341
e6889643-6a0d-425e-b10e-e2890b831054,0029
b491fb59-3973-4810-be70-ca6302c54d15,0072
916a01d6-453d-45ec-82bc-0b54ca2a52c4,23862
0cff925f-79e7-4060-86e7-b0b9db8f3e13,4558
6c8125a0-c8c0-474e-87ba-3634230061a9,23472
d6d0b00e-dc91-4b8b-84d3-0c1c5c76ca46,23495
92ca16b0-f26c-4f76-9113-b631c84a59f1,24801
658a94d1-f673-4d3c-aa1c-889ab5282e40,4611
70d2d033-40c6-4a70-9a09-aff99d54b9c8,25372
9aa0e5d1-fc0c-4cf7-be14-5bc5f29b8532,0003
0b49810c-4c96-4084-a148-a1c324a19ddf,0006
0b3c0271-3c17-4e0e-abea-d22cbb6368f6,0420
e1794b96-93c2-454a-a007-6e402fa04fc0,0077
d7e8e838-fd0a-45fe-8414-ae2785ac9a40,6168
175f329e-8fb8-4904-8bc8-33017c3f461b,10126
041f13cb-9bdf-4ff7-85b1-8f9fd69e52f3,23388
e608c82f-39a2-42f0-a546-d1d106aba8d3,6492
6a4ae883-7d1f-4940-896a-cb2eff53135c,23275
4d2ca5e6-32d9-40fb-9528-ba6a10c2d060,23642
7da74eb6-d218-4348-aa6d-ce17da484a7d,4076
c4e2d287-a038-4f88-a17c-78bd5d862e41,0031
76d9a05d-4130-4f60-8c9c-efffd3df9588,2379
690e9483-e160-4136-a940-5dfab4f6f28e,0028
c20f5820-5438-48ef-9046-045179c7185d,0009
0744b820-8e10-4d3d-ba58-0a02e396cb4b,6165
7798bf61-cdbc-4841-93cc-fda7a66cd9a6,9208
340132aa-589e-450a-bfea-0dac93b6eadf,6303
6360c914-8c5f-4760-8bbc-ac401da73808,0248
ba8e945d-2527-401a-88fd-5652b77842d7,23422
76dd6184-8b6c-4a91-a016-0171732bd3eb,1066
96cd1bda-bb9b-4d8f-8aed-098744d6b011,1178
fca83af9-c777-4813-b6b5-a09392513c4a,23037
515a7db6-4570-4513-ba43-5b3edba071ac,0021
0dd18230-7696-4e79-b341-9da751595178,8994
6b0ddcf4-5142-452e-94f8-5b9e9856e2f2,23841
8461b98b-a5fe-4212-bfd4-a751a8a2416a,20591
4708a1e5-c923-4cd3-941a-040bb346ae18,6035
e246ff11-2fe5-4429-bfe6-a1af8cdc27e7,27292
e17a5b79-cbee-4b54-aa1d-b3a3a9bf0785,26241
895b8e53-2981-43a7-9fb4-784b9d41e666,8400
f4278a9c-2e2e-451d-8d8a-a99dcb24fe45,0172
73a8ba5a-405a-49a5-b083-576bc0d0e432,0141
c28da7e5-02e7-4ac7-a614-30d9379264f6,0025
474af971-40c7-4e86-9be1-6a86b4de0dd3,0292
6d7a625b-90e2-411b-bd01-399d18808772,0002
9c9d9264-2525-4c0e-a333-20c1b0cfda46,26692
83561e49-858a-4435-a577-ac92e77aa241,4705
75fa0d3e-7891-4fac-b8f6-05c30098035f,4705
e3074a21-68f0-48da-948c-80fadd9e327b,8151
ee1955ad-5bb0-47f8-9af2-04e001115da5,21542
bf07682e-9b0a-4aae-b83f-fd1ae6662746,9143
760b8501-2deb-4b6c-a578-9d28ac4e83cf,1660
b695a3d8-fd2e-4874-a753-e9cf3fd4b19b,1014
b0931c6b-68f2-4037-96fb-c6c1d2f53bc5,0091
c30b14db-a805-4591-b600-c83d22036dd3,0057
fb8ff6cc-b474-485e-9f0b-f0dee5c6db37,0012
237e6f75-3abe-4843-8a71-c30cc25bb339,0315
5f6e6e86-e86d-4acf-b09e-4a951db8c01c,9430
13a61ee2-d754-4e49-b4b0-dfa1435e3e17,0006
